"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"C1, C2, C3, C5, C8, C9, C10, C11, C13, C17, C18, C19";"C_0603_1608Metric";12;"100nF";;;
2;"C4, C7, C12, C15";"C_0603_1608Metric";4;"47µF";;;
3;"C6";"C_0603_1608Metric";1;"1µF";;;
4;"C14";"C_0603_1608Metric";1;"30µF";;;
5;"C16, C20";"C_0603_1608Metric";2;"22 pF";;;
6;"J1, J2, J3, J4";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";4;"Conn_01x04";;;
7;"J5, J10, J11, J12, J14";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";5;"Screw_Terminal_01x02";;;
8;"J6, J7, J8, J9";"PinHeader_2x08_P2.54mm_Vertical";4;"Conn_02x08_Odd_Even";;;
9;"J13, J15, J16, J19";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";4;"Conn_01x02";;;
10;"J17";"USB_C_Receptacle_Amphenol_124019772112A";1;"USB_C_Receptacle";;;
11;"JP1";"PinHeader_1x02_P2.54mm_Vertical";1;"Jumper_2_Open";;;
12;"L1";"L_1008_2520Metric";1;"L";;;
13;"Q1, Q2";"SOT-23";2;"AO3400A";;;
14;"R1, R7, R10, R14";"R_0805_2012Metric";4;"10kΩ";;;
15;"R2, R3, R13, R17";"R_0805_2012Metric";4;"4.7kΩ";;;
16;"R4, R6";"R_0805_2012Metric";2;"5.1kΩ";;;
17;"R5";"R_0805_2012Metric";1;"10 kΩ";;;
18;"R8, R15";"R_0805_2012Metric";2;"100Ω";;;
19;"R9, R12, R18, R20";"R_0805_2012Metric";4;"4.7k";;;
20;"R11, R19";"R_0805_2012Metric";2;"100kΩ";;;
21;"R16";"R_0805_2012Metric";1;"52.5 kΩ";;;
22;"R21";"R_0805_2012Metric";1;"R";;;
23;"SW1";"SW_PUSH_6mm";1;"SW_Push";;;
24;"U1";"SOIC-8_5.3x5.3mm_P1.27mm";1;"W25Q16JVSS";;;
25;"U2";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
26;"U3";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
27;"U4";"MSOP-8_3x3mm_P0.65mm";1;"TPS62160DGK";;;
28;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal";;;
